,一、乾為天──旱象逢河,二、坤為地──包容萬象,三、水雷屯──亂絲無頭,四、山水蒙──小鬼偷錢,五、水天需──明珠出土,六、天水訟──二人爭路,七、地水師──馬到成功,八、水地比──船得順風,九、風天小畜──密雲不雨,十、天澤履──行走薄冰,十一、地天泰──喜報三元,十二、天地否──虎落陷坑,十三、天火同人──仙人指路,十四、火天大有──金玉滿堂,十五、地山謙──二人分金,十六、雷地豫──青龍得位,十七、澤雷隨──推車靠崖,十八、山風蠱──百事不順,十九、地澤臨──發政施仁,二十、風地觀──接受觀摩,二十一、火雷噬嗑──餓虎飢食,二十二、山火賁──萌芽出土,二十三、山地剝──瑣碎事多,二十四、地雷復──夫妻反目,二十五、天雷無妄──宜守本分,二十六、山天大畜──陣勢得開,二十七、山雷頤──渭水訪賢,二十八、澤風大過──夜夢金銀,二十九、坎為水──水中撈月,三十、離為火──天官賜褔,三十一、澤山咸──山澤通氣,三十二、雷風恆──日月常明,三十三、天山遯──濃雲蔽日,三十四、雷天大壯──先曲後順,三十五、火地晉──鋤地得金,三十六、地火明夷──謹慎保守,三十七、風火家人──鏡中觀花,三十八、火澤睽──兩情相違,三十九、水山蹇──跛腳走路,四十、雷水解──困人出獄,四十一、山澤損──勞心苦戰,四十二、風雷益──枯木開花,四十三、澤天夬──遊蜂脫網,四十四、天風姤──他鄉遇友,四十五、澤地萃──大有斬獲,四十六、地風升──指日高昇,四十七、澤水困──守己待時,四十八、水風井──枯井生泉,四十九、澤火革──憂去喜來,五十、火風鼎──餓人饑食,五十一、震為雷──金鐘夜響,五十二、艮為山──安靜無虧,五十三、風山漸──飄浮不定,五十四、雷澤歸妹──浮雲蔽日,五十五、雷火豐──古鏡重明,五十六、火山旅──先甘後苦,五十七、巽為風──動極思靜,五十八、兌為澤──趁水和泥,五十九、風水渙──隔河望金,六十、水澤節──封神斬將,六十一、風澤中孚──謹慎保守,六十二、雷山小過──過獨木橋,六十三、水火既濟──金榜題名,六十四、火水未濟──憂中望喜,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,父辰　▄▄▄▄▄,官卯　▄▄　▄▄,官辰　▄▄　▄▄,兄午　▄▄　▄▄,兄辰　▄▄▄▄▄,兄午　▄▄　▄▄,財午　▄▄　▄▄,官卯　▄▄　▄▄,財辰　▄▄▄▄▄,兄丑　▄▄　▄▄,兄辰　▄▄▄▄▄,財卯　▄▄　▄▄,官亥　▄▄▄▄▄,父辰　▄▄▄▄▄,兄申　▄▄▄▄▄,兄卯　▄▄　▄▄,財辰　▄▄　▄▄,官酉　▄▄▄▄▄,兄丑　▄▄　▄▄,財卯　▄▄　▄▄,財辰　▄▄　▄▄,財亥　▄▄▄▄▄,財卯　▄▄　▄▄,兄辰　▄▄　▄▄,財辰　▄▄　▄▄,兄辰　▄▄▄▄▄,財辰　▄▄　▄▄,官酉　▄▄▄▄▄,財午　▄▄　▄▄,官亥　▄▄▄▄▄,兄申　▄▄▄▄▄,孫午　▄▄▄▄▄,兄申　▄▄▄▄▄,兄辰　▄▄▄▄▄,財卯　▄▄　▄▄,兄亥　▄▄▄▄▄,父亥　▄▄▄▄▄,兄丑　▄▄　▄▄,兄申　▄▄▄▄▄,孫午　▄▄　▄▄,兄丑　▄▄　▄▄,財辰　▄▄　▄▄,兄辰　▄▄▄▄▄,兄酉　▄▄▄▄▄,財卯　▄▄　▄▄,官酉　▄▄▄▄▄,官午　▄▄　▄▄,官酉　▄▄▄▄▄,兄亥　▄▄▄▄▄,財酉　▄▄▄▄▄,財辰　▄▄　▄▄,孫申　▄▄▄▄▄,孫申　▄▄▄▄▄,父丑　▄▄　▄▄,兄亥　▄▄▄▄▄,財申　▄▄▄▄▄,官酉　▄▄▄▄▄,父丑　▄▄　▄▄,兄午　▄▄　▄▄,官丑　▄▄　▄▄,兄丑　▄▄　▄▄,兄申　▄▄▄▄▄,兄亥　▄▄▄▄▄,兄午　▄▄　▄▄,,,,,,,,,,,
,財寅　▄▄▄▄▄,父巳　▄▄　▄▄,孫寅　▄▄　▄▄,孫辰　▄▄▄▄▄,官寅　▄▄▄▄▄,孫辰　▄▄▄▄▄,官辰　▄▄▄▄▄,父巳　▄▄　▄▄,兄寅　▄▄▄▄▄,官卯　▄▄▄▄▄,官寅　▄▄▄▄▄,官巳　▄▄　▄▄,孫丑　▄▄　▄▄,財寅　▄▄▄▄▄,官午　▄▄　▄▄,孫巳　▄▄　▄▄,兄寅　▄▄　▄▄,父亥　▄▄▄▄▄,官卯　▄▄▄▄▄,官巳　▄▄　▄▄,兄寅　▄▄　▄▄,兄丑　▄▄　▄▄,官巳　▄▄　▄▄,官寅　▄▄　▄▄,兄寅　▄▄　▄▄,官寅　▄▄▄▄▄,兄寅　▄▄　▄▄,父亥　▄▄▄▄▄,官辰　▄▄▄▄▄,孫丑　▄▄　▄▄,官午　▄▄　▄▄,父亥　▄▄▄▄▄,官午　▄▄　▄▄,官寅　▄▄▄▄▄,官巳　▄▄　▄▄,官丑　▄▄　▄▄,財丑　▄▄　▄▄,官卯　▄▄▄▄▄,官午　▄▄　▄▄,財辰　▄▄▄▄▄,官卯　▄▄▄▄▄,兄寅　▄▄　▄▄,官寅　▄▄▄▄▄,孫亥　▄▄▄▄▄,官巳　▄▄　▄▄,父亥　▄▄▄▄▄,父辰　▄▄▄▄▄,父亥　▄▄▄▄▄,官丑　▄▄　▄▄,官亥　▄▄▄▄▄,兄寅　▄▄　▄▄,父午　▄▄　▄▄,父午　▄▄　▄▄,財卯　▄▄▄▄▄,官丑　▄▄　▄▄,兄午　▄▄　▄▄,父亥　▄▄▄▄▄,財卯　▄▄▄▄▄,孫辰　▄▄▄▄▄,孫卯　▄▄▄▄▄,官卯　▄▄▄▄▄,官午　▄▄　▄▄,官丑　▄▄　▄▄,孫辰　▄▄▄▄▄,,,,,,,,,,,
,孫子　▄▄▄▄▄,兄未　▄▄　▄▄,兄子　▄▄▄▄▄,父寅　▄▄　▄▄,財子　▄▄▄▄▄,父寅　▄▄　▄▄,孫寅　▄▄　▄▄,兄未　▄▄　▄▄,父子　▄▄▄▄▄,父巳　▄▄▄▄▄,財子　▄▄▄▄▄,父未　▄▄　▄▄,父卯　▄▄▄▄▄,孫子　▄▄▄▄▄,父辰　▄▄　▄▄,財未　▄▄　▄▄,父子　▄▄▄▄▄,財丑　▄▄　▄▄,父巳　▄▄▄▄▄,父未　▄▄　▄▄,父子　▄▄▄▄▄,官卯　▄▄▄▄▄,父未　▄▄　▄▄,財子　▄▄▄▄▄,父子　▄▄▄▄▄,財子　▄▄▄▄▄,父子　▄▄▄▄▄,財丑　▄▄　▄▄,孫寅　▄▄　▄▄,父卯　▄▄▄▄▄,父辰　▄▄　▄▄,財丑　▄▄　▄▄,父辰　▄▄　▄▄,財子　▄▄▄▄▄,父未　▄▄　▄▄,孫卯　▄▄▄▄▄,兄卯　▄▄▄▄▄,父巳　▄▄▄▄▄,父辰　▄▄　▄▄,兄寅　▄▄　▄▄,父巳　▄▄▄▄▄,父子　▄▄▄▄▄,財子　▄▄▄▄▄,父丑　▄▄　▄▄,父未　▄▄　▄▄,財丑　▄▄　▄▄,財寅　▄▄　▄▄,財丑　▄▄　▄▄,孫卯　▄▄▄▄▄,孫丑　▄▄　▄▄,父子　▄▄▄▄▄,兄辰　▄▄　▄▄,兄辰　▄▄　▄▄,官巳　▄▄▄▄▄,孫卯　▄▄▄▄▄,孫辰　▄▄　▄▄,財丑　▄▄　▄▄,官巳　▄▄▄▄▄,父寅　▄▄　▄▄,財巳　▄▄▄▄▄,父巳　▄▄▄▄▄,父辰　▄▄　▄▄,孫卯　▄▄▄▄▄,父寅　▄▄　▄▄,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
